"","q_code","age","sex","occ_status","income","education","fam_w_jeep","w_driver_rel","attitude","opinion","cluster"
"192",218,43,0,2,1,5,1,1,"1","3",1
"193",219,42,0,2,1,5,1,0,"3","2",3
"194",220,26,0,3,-99,11,1,0,"1","5",1
"195",221,18,1,3,-99,7,1,0,"3","3",3
"196",222,39,0,2,4,10,1,0,"3","2",3
"197",223,30,1,1,2,5,1,0,"3","1",3
"198",224,54,0,3,-99,6,0,1,"3","4",3
"199",225,44,1,2,1,11,0,0,"3","2",3
"200",226,83,0,3,-99,3,0,0,"2","3",2
"201",227,21,0,4,-99,10,1,0,"1","4",1
"202",228,31,0,3,-99,10,1,0,"2","1",2
"203",229,40,0,3,-99,11,1,1,"2","1",2
"204",230,56,1,1,8,11,1,1,"3","4",3
"205",231,60,0,3,-99,6,1,0,"2","2",2
"206",232,26,1,1,3,11,1,0,"3","2",3
"207",233,51,1,2,1,6,1,1,"2","1",2
"208",234,46,0,3,-99,7,1,0,"3","2",3
"209",235,25,1,1,3,11,1,0,"2","4",2
"210",236,18,0,4,-99,6,1,0,"1","3",1
"211",237,63,1,2,1,6,1,1,"3","1",3
"212",238,30,1,2,4,6,1,0,"2","1",2
"213",239,64,0,3,-99,5,0,0,"3","1",3
"214",241,41,0,3,-99,10,1,0,"2","5",2
"215",242,20,1,4,-99,10,1,0,"2","2",2
"216",243,33,0,2,1,6,1,0,"1","3",1
"217",244,44,0,1,6,11,1,0,"2","1",2
"218",245,32,1,3,-99,4,1,0,"1","1",1
"219",246,40,1,2,5,5,1,1,"2","2",2
"220",247,20,1,4,-99,10,0,0,"3","2",3
"221",248,68,0,6,-97,11,1,0,"2","4",2
"222",249,45,0,1,3,7,1,0,"2","5",2
"223",250,22,0,3,-99,7,1,0,"1","1",1
"224",251,55,1,2,-97,6,0,1,"1","1",1
"225",252,53,1,2,2,6,1,1,"1","4",1
"226",253,22,0,3,-99,7,1,0,"2","1",2
"227",254,66,0,2,3,11,1,0,"3","2",3
"228",255,55,1,2,3,5,0,1,"2","1",2
"229",258,53,1,1,2,10,1,0,"1","2",1
"230",259,51,1,2,2,10,1,0,"3","1",3
"231",260,37,0,3,-99,5,0,0,"1","2",1
"232",262,51,0,1,6,11,1,0,"2","2",2
"233",263,43,0,1,1,6,1,0,"2","1",2
"234",264,37,0,3,-99,5,1,1,"2","3",2
"235",265,70,0,6,1,6,1,0,"1","4",1
"236",266,68,0,2,1,6,1,0,"3","5",3
"237",267,59,0,3,-99,11,1,1,"2","1",2
"238",268,18,0,1,3,8,1,0,"3","2",3
"239",269,37,1,3,-99,5,1,1,"3","4",3
"240",270,63,0,3,-99,5,1,0,"3","1",3
"241",271,47,1,3,-99,11,0,0,"3","1",3
"242",272,60,0,2,1,4,0,1,"3","4",3
"243",273,45,0,2,1,8,0,0,"3","2",3
"244",274,66,0,2,1,6,1,1,"2","2",2
"245",275,37,1,2,4,6,0,1,"2","4",2
"246",276,38,0,2,2,11,1,0,"2","2",2
"247",277,43,0,1,4,11,1,0,"2","4",2
"248",278,44,0,2,2,11,1,0,"3","1",3
"249",279,64,0,6,1,6,1,0,"1","2",1
"250",280,26,1,1,3,11,0,0,"2","2",2
"251",281,46,1,3,-99,9,1,1,"2","5",2
"252",282,43,1,1,6,11,1,0,"3","4",3
"253",283,70,0,6,1,4,1,0,"1","5",1
"254",284,28,1,1,3,11,1,1,"2","2",2
"255",285,32,0,4,-99,10,1,0,"1","2",1
"256",286,62,1,3,-99,11,1,0,"3","2",3
"257",287,59,0,2,2,4,0,0,"3","1",3
"258",288,62,1,2,1,5,1,1,"1","2",1
"259",289,62,0,2,1,5,1,1,"1","5",1
"260",290,29,1,1,2,10,1,1,"2","3",2
"261",291,40,1,1,3,3,1,0,"2","2",2
"262",292,36,0,2,1,5,1,1,"1","4",1
"263",293,35,0,1,2,9,1,0,"2","3",2
"264",294,26,0,3,-99,10,1,0,"2","1",2
"265",295,45,0,2,2,5,1,0,"2","2",2
"266",298,38,0,1,1,7,0,0,"1","1",1
"267",300,30,0,3,-99,5,0,1,"1","3",1
"268",301,40,0,2,2,10,0,1,"1","1",1
"269",302,21,1,4,-99,10,1,0,"2","3",2
"270",305,53,0,2,1,5,0,0,"1","1",1
"271",306,58,0,2,3,5,1,0,"1","4",1
"272",307,57,0,1,1,5,0,0,"1","3",1
"273",308,60,0,1,3,13,1,1,"3","3",3
"274",309,30,0,3,-99,10,1,0,"2","3",2
"275",310,50,0,1,1,5,1,0,"3","5",3
"276",311,32,1,2,4,5,0,0,"1","4",1
"277",312,47,1,2,1,11,1,1,"2","2",2
"278",313,57,1,2,1,4,0,0,"1","5",1
"279",314,18,1,4,-99,6,1,0,"2","3",2
"280",315,37,1,1,3,11,1,0,"1","4",1
"281",316,60,0,3,-99,5,1,0,"1","1",1
"282",317,42,1,1,2,5,0,0,"3","2",3
"283",318,38,0,3,-99,5,1,1,"1","4",1
"284",319,51,0,1,2,11,1,0,"3","5",3
"285",320,25,0,1,1,6,1,0,"1","1",1
"286",321,18,0,1,4,5,1,0,"2","5",2
"287",322,24,1,4,-99,7,1,0,"1","1",1
"288",323,34,0,1,2,5,1,1,"3","1",3
"289",324,45,1,1,4,11,1,1,"2","1",2
"290",325,48,1,2,1,5,1,0,"1","5",1
"291",326,21,1,4,-99,10,0,0,"2","2",2
"292",327,69,0,6,2,4,1,0,"1","1",1
